,tot_vap_20,bvap_20,hvap_20,asian_nhpi_vap_20,amin_vap_20,other_vap_20,white_vap_20,tot_pop_20,bpop_20,hpop_20,asian_nhpi_pop_20,amin_pop_20,other_pop_20,white_pop_20,pres_08_dem,pres_08_rep,pres_12_dem,pres_12_rep,pres_16_dem,pres_16_rep,sen_16_dem,sen_16_rep,gov_18_dem,gov_18_rep,ag_18_dem,ag_18_rep,pres_20_dem,pres_20_rep,sen_20_dem,sen_20_rep
vtd:08031031241,1106,34,88,40,10,15,919,1348,45,126,58,11,17,1091,566,190,580,240,644,165,636,207,622,177,621,179,751,207,740,235
vtd:08031031639,1074,11,47,38,5,15,958,1383,12,67,58,11,19,1216,637,253,601,357,677,217,668,267,662,226,642,238,814,222,777,277
vtd:08031031229,853,8,61,30,13,8,733,1099,13,84,54,17,11,920,466,222,410,265,459,167,445,201,483,193,466,215,605,171,582,216
vtd:08031031230,865,2,69,33,4,5,752,1232,13,93,90,13,12,1011,432,231,454,271,502,195,483,229,517,224,499,244,627,189,591,246
vtd:08031031237,3196,227,302,314,30,34,2289,3273,249,315,322,33,36,2318,995,305,1079,421,1289,240,1134,298,895,143,869,153,895,138,848,166
vtd:08031031415,2244,37,214,93,16,40,1844,2535,41,266,109,17,47,2055,967,211,896,292,1012,173,952,236,1185,211,1149,220,1594,245,1547,296
vtd:08031031416,1444,17,217,52,24,24,1110,1702,29,274,63,25,24,1287,835,178,860,214,901,141,846,196,858,135,823,156,1033,156,1001,181
vtd:08031031421,1737,58,311,57,41,26,1244,2127,91,395,82,43,39,1477,934,163,920,227,997,161,971,221,990,178,961,202,1181,201,1156,251
vtd:08031031522,4398,119,694,219,69,39,3258,4742,160,851,236,71,39,3385,656,110,902,190,1381,348,1292,415,1633,380,1556,405,2486,512,2361,637
vtd:08031031417,1293,27,280,40,22,25,899,1540,34,362,54,22,28,1040,613,112,691,157,735,112,700,148,737,125,737,124,934,107,909,130
vtd:08031031806,2538,994,517,62,26,26,913,3140,1297,703,77,30,36,997,747,52,933,91,1159,130,1090,170,1046,108,1026,120,1329,144,1305,154
vtd:08031031201,2731,161,274,123,47,25,2101,2799,179,286,132,48,27,2127,795,203,726,265,1002,162,953,212,1182,165,1133,184,1482,201,1436,245
vtd:08031031114,1572,26,604,70,49,19,804,1913,33,798,87,59,20,916,545,369,580,364,577,320,573,338,552,305,553,305,751,346,724,373
vtd:08031031841,1475,86,159,61,22,20,1127,1624,145,205,75,27,20,1152,860,114,849,118,891,87,855,95,893,64,873,77,1008,79,987,100
vtd:08031031848,1437,43,122,37,17,22,1196,1487,48,131,42,18,22,1226,835,102,829,151,936,100,888,117,869,92,833,113,1023,108,1003,117
vtd:08031031434,2314,55,1550,42,31,20,616,3147,96,2202,50,46,31,722,569,142,724,132,693,139,670,141,629,119,622,129,940,192,943,184
vtd:08031031102,2991,195,1946,265,36,20,529,4336,365,2946,310,61,36,618,461,112,703,97,757,166,738,174,556,130,577,134,909,285,917,274
vtd:08031031105,2073,54,1153,89,40,23,714,2725,78,1636,118,51,26,816,650,274,726,258,722,315,737,311,672,238,656,252,937,338,930,358
vtd:08031031701,1453,555,297,25,34,27,515,1856,708,437,29,38,29,615,678,31,792,51,777,75,734,111,688,57,682,59,876,93,861,110
vtd:08031031807,1624,704,379,28,25,28,460,2087,866,581,35,32,37,536,750,24,865,35,843,42,790,77,766,45,764,50,962,75,954,79
vtd:08031031808,1411,610,360,25,9,9,398,1800,728,543,41,10,17,461,698,27,890,56,791,72,765,100,753,55,737,58,915,73,903,84
vtd:08031031824,1008,120,78,30,4,19,757,1356,164,114,55,10,23,990,751,84,750,105,769,73,752,96,772,78,757,90,890,76,873,99
vtd:08031031821,940,340,129,21,1,13,436,1226,424,181,25,4,18,574,684,41,709,71,701,58,670,89,646,67,637,73,759,79,741,93
vtd:08031031121,1509,43,583,216,15,9,643,1914,70,796,282,20,13,733,597,362,611,322,617,293,618,308,575,260,582,265,748,326,743,326
vtd:08031031116,1428,23,554,63,33,27,728,1770,44,756,89,36,29,816,583,349,612,338,587,353,605,352,563,320,551,327,697,365,684,382
vtd:08031031110,1604,32,590,70,27,22,863,2021,45,837,93,37,27,982,641,353,648,304,700,347,720,347,704,288,682,316,895,330,883,348
vtd:08031031108,2415,53,1263,154,43,18,884,3110,75,1799,193,54,23,966,709,247,884,274,853,281,875,283,770,241,773,259,1061,357,1045,356
vtd:08031031111,2062,39,953,78,33,16,943,2652,59,1321,109,40,23,1100,684,273,786,266,787,294,801,288,789,254,802,253,1099,346,1113,335
vtd:08031031117,1318,38,389,96,22,20,753,1657,55,550,122,35,26,869,493,325,584,314,537,283,569,281,552,259,542,274,714,307,690,327
vtd:08031031122,1596,45,434,149,13,18,937,1950,72,596,186,13,20,1063,455,450,506,443,583,380,593,382,517,375,499,393,696,420,674,448
vtd:08031031210,1597,59,149,92,20,18,1259,1694,79,165,95,23,21,1311,864,134,906,178,903,129,886,153,954,107,918,126,1064,87,1039,116
vtd:08031031843,1291,47,113,39,24,20,1048,1364,53,123,43,29,22,1094,670,98,742,150,748,62,720,82,752,67,729,69,880,69,872,80
vtd:08031031852,1055,49,105,32,15,19,835,1304,58,138,43,16,26,1023,684,139,648,129,725,85,711,100,747,89,723,109,830,92,815,110
vtd:08031031115,494,16,162,11,4,15,286,626,23,226,14,11,17,335,206,164,203,140,212,133,212,154,203,113,209,125,268,124,256,142
vtd:08031031632,1457,26,73,32,10,12,1304,1604,32,98,41,11,12,1410,649,278,606,294,678,232,669,262,677,246,653,263,798,221,776,253
vtd:08031031921,3151,832,484,189,58,41,1547,3841,1196,620,209,76,48,1692,838,310,962,359,865,333,894,319,721,243,709,256,1071,293,1053,309
vtd:08031031851,1525,66,148,73,17,33,1188,1662,80,162,82,24,39,1275,867,145,910,182,945,99,922,130,984,90,975,104,1072,114,1061,133
vtd:08031031634,941,5,50,28,1,4,853,1003,5,61,28,1,6,902,410,326,369,361,443,268,451,274,457,283,449,288,533,281,499,325
vtd:08031031512,2372,50,219,109,10,12,1972,2470,64,239,120,12,14,2021,612,134,604,212,813,173,757,249,918,209,882,225,1391,311,1323,376
vtd:08031031829,1962,98,161,83,33,19,1568,2068,122,168,87,35,22,1634,740,118,840,187,968,114,938,170,1115,166,1101,171,1325,149,1297,183
vtd:08031031609,283,8,17,11,1,6,240,371,9,20,13,1,6,322,177,69,186,81,222,50,226,48,203,67,203,64,241,59,233,71
vtd:08031031845,1322,34,114,54,21,30,1069,1489,49,121,79,23,41,1176,708,127,764,131,845,80,808,95,777,82,762,89,934,88,932,102
vtd:08031031534,2111,50,1260,125,35,24,617,2770,66,1759,165,48,31,701,517,150,688,154,694,179,701,181,643,142,642,144,890,226,881,233
vtd:08031031638,719,25,46,33,12,18,585,931,33,76,49,12,29,732,338,202,322,256,362,170,368,190,369,192,364,199,462,183,454,206
vtd:08031031501,1532,23,837,25,26,5,616,1893,50,1084,26,30,5,698,546,116,714,135,727,141,712,157,679,141,683,137,862,162,861,170
vtd:08031031846,1380,80,113,78,16,13,1080,1565,100,138,96,17,17,1197,650,127,722,132,799,111,785,139,823,93,793,116,893,92,878,110
vtd:08031031918,1463,96,168,78,11,28,1082,1799,146,242,95,12,34,1270,789,398,722,414,780,304,795,343,759,324,743,336,906,303,879,347
vtd:08031031625,977,159,92,34,16,10,666,1382,266,156,65,21,20,854,404,168,485,239,563,124,552,173,534,152,516,167,648,149,620,180
vtd:08031031927,1211,60,83,75,21,23,949,1466,70,101,87,23,35,1150,484,345,451,396,516,285,521,306,527,287,499,311,704,295,668,345
vtd:08031031916,2247,134,203,138,28,32,1712,2490,162,239,160,33,41,1855,705,436,718,455,911,440,908,474,891,375,845,417,1188,429,1153,478
vtd:08031031906,1413,138,139,92,23,8,1013,1570,182,172,111,23,16,1066,618,215,649,266,704,228,692,242,649,221,619,244,839,266,811,284
vtd:08031031721,1086,453,513,19,3,6,92,1555,581,808,25,4,12,125,589,35,647,36,587,64,554,92,494,61,492,68,636,86,643,77
vtd:08031031935,4038,207,419,347,57,46,2962,4282,233,465,384,62,46,3092,455,317,593,550,992,524,971,584,1131,478,1069,520,1697,651,1628,720
vtd:08031031247,1114,37,102,85,13,13,864,1292,67,138,91,13,18,965,292,192,343,196,394,210,392,229,406,201,389,215,664,232,627,273
vtd:08031031626,1193,142,133,57,3,26,832,1330,176,172,62,7,28,885,423,164,538,224,544,133,536,147,512,132,493,147,711,154,688,180
vtd:08031031915,1267,37,147,50,15,16,1002,1511,60,184,61,23,16,1167,569,259,584,308,584,255,572,282,600,239,564,265,737,279,716,296
vtd:08031031925,762,34,68,19,16,8,617,991,48,84,44,17,20,778,295,265,279,268,371,221,376,232,364,237,353,240,489,205,465,233
vtd:08031031926,809,42,57,28,20,4,658,977,44,83,38,22,5,785,339,267,378,281,386,214,390,224,393,205,363,232,489,202,474,231
vtd:08031031724,1583,463,891,53,9,8,159,2262,625,1350,72,21,8,186,576,58,644,67,625,77,588,107,505,69,517,71,682,106,678,103
vtd:08031031740,1366,470,446,170,15,14,251,1857,635,656,218,20,26,302,493,115,537,104,598,123,577,138,501,106,494,104,669,160,666,147
vtd:08031031738,1357,503,451,139,9,10,245,1852,647,688,184,11,10,312,499,118,578,118,624,132,615,135,497,112,501,114,712,160,717,154
vtd:08031031910,1894,219,227,91,21,27,1309,2160,282,274,112,24,36,1432,872,339,900,344,931,271,944,286,928,252,911,265,1131,289,1118,316
vtd:08031031729,3451,844,1207,427,24,38,911,4791,1268,1739,597,30,56,1101,638,180,576,139,876,256,866,272,1101,261,1055,290,1604,427,1602,415
vtd:08031031644,1172,120,72,22,3,0,955,1174,122,72,22,3,0,955,218,122,155,108,584,330,605,312,601,285,580,305,721,279,706,297
vtd:08031031920,1464,135,128,61,21,21,1098,1771,222,176,85,24,23,1241,670,382,635,385,654,330,683,333,658,329,634,352,825,342,803,368
vtd:08031031912,2105,245,363,99,20,34,1344,2475,333,457,122,29,40,1494,575,371,635,373,651,354,658,373,632,302,613,339,816,314,793,336
vtd:08031031734,2081,611,826,282,12,23,327,3140,953,1316,412,20,32,407,651,167,787,178,719,147,680,175,539,115,528,130,740,198,729,208
vtd:08031031739,1499,502,523,189,26,8,251,2101,734,758,273,28,11,297,538,121,574,109,572,148,549,169,468,121,466,132,722,179,697,189
vtd:08031031643,1275,495,144,50,19,12,555,1562,689,180,68,28,12,585,513,148,843,314,533,131,529,140,465,98,461,113,612,124,614,130
vtd:08031031731,2179,619,802,267,27,11,453,3109,926,1237,363,31,15,537,544,148,637,173,832,256,829,267,773,160,756,173,1104,260,1063,287
vtd:08031031936,1733,206,241,90,21,25,1150,1920,263,289,96,23,30,1219,524,280,605,312,551,251,561,247,503,189,497,195,703,248,692,258
vtd:08031031703,732,94,59,33,2,16,528,1145,187,95,47,7,22,787,67,20,476,168,466,78,451,110,449,101,444,102,563,96,551,116
vtd:08031031130,1595,40,416,89,23,27,1000,1949,69,596,105,23,33,1123,454,402,501,452,479,344,502,359,471,300,460,316,648,374,622,382
vtd:08031031930,1273,226,174,83,12,27,751,1651,379,248,116,15,30,863,514,248,517,251,511,232,507,250,481,194,472,206,627,231,601,252
vtd:08031031211,1328,69,142,29,23,17,1048,1397,84,154,31,23,18,1087,783,103,748,123,796,91,770,110,838,72,829,75,908,74,873,95
vtd:08031031743,928,28,43,83,13,11,750,1620,54,106,144,19,34,1263,91,28,410,144,686,118,660,165,659,144,632,162,755,125,723,164
vtd:08031031126,1945,65,321,113,45,18,1383,2236,77,425,127,46,19,1542,469,326,572,429,578,436,615,447,559,352,541,372,836,490,822,511
vtd:08031031707,918,30,64,60,6,19,739,1507,54,111,111,10,29,1192,231,63,183,64,615,126,599,155,583,132,557,153,722,124,692,156
vtd:08031031847,631,26,54,32,3,1,515,771,34,85,40,6,7,599,377,84,363,75,415,77,405,81,393,75,369,89,468,72,465,72
