plan,district,WVAP,C-VAP
0,0,37635,18467
0,1,34983,17970
0,2,8670,35831
0,3,38567,16941
0,4,25094,25991
0,5,45318,16724
0,6,21747,24956
0,7,28534,22657
0,8,14069,33069
0,9,43741,14018
0,10,42670,13410
1,0,8875,37471
1,1,28227,22835
1,2,23382,24414
1,3,46759,15006
1,4,33907,21121
1,5,35965,17850
1,6,18034,32849
1,7,33820,15882
1,8,35609,17768
1,9,42238,15483
1,10,34212,19355
2,0,24796,24935
2,1,43448,15518
2,2,8848,37418
2,3,22808,24521
2,4,32704,21634
2,5,25802,24016
2,6,41547,19481
2,7,37556,16559
2,8,33974,17793
2,9,43985,10957
2,10,25560,27202
3,0,37931,16776
3,1,26223,26655
3,2,8689,35994
3,3,40571,17712
3,4,22570,23985
3,5,15713,34032
3,6,37929,18490
3,7,40864,11721
3,8,36408,17978
3,9,41770,15386
3,10,32360,21305
4,0,34437,17896
4,1,34981,18205
4,2,25139,26635
4,3,43739,12238
4,4,8848,37418
4,5,32940,21376
4,6,23569,24342
4,7,32521,19566
4,8,21128,28640
4,9,43781,13274
4,10,39945,20444
5,0,41819,17712
5,1,39329,17830
5,2,44327,12157
5,3,35620,17686
5,4,8986,39080
5,5,16036,33712
5,6,25308,26191
5,7,40200,14993
5,8,37225,17877
5,9,33601,14733
5,10,18577,28063
6,0,25446,26462
6,1,35763,18548
6,2,36023,18378
6,3,35911,22366
6,4,35823,15941
6,5,21343,30287
6,6,8986,39080
6,7,24351,22722
6,8,34681,18626
6,9,36462,16656
6,10,46239,10968
7,0,24658,24664
7,1,8793,36647
7,2,35271,17023
7,3,34260,20221
7,4,23341,23594
7,5,43780,16263
7,6,15155,34296
7,7,29229,24541
7,8,41394,12444
7,9,46095,14074
7,10,39052,16267
8,0,25421,27610
8,1,22972,25928
8,2,8803,36828
8,3,35299,17891
8,4,35370,18067
8,5,21183,23327
8,6,33189,22248
8,7,43819,10098
8,8,43144,15585
8,9,41813,18404
8,10,30015,24048
9,0,25325,27397
9,1,42606,16389
9,2,22478,28394
9,3,8782,37066
9,4,42148,16533
9,5,27798,25555
9,6,20854,23198
9,7,36078,15404
9,8,36492,18735
9,9,36752,16627
9,10,41715,14736
10,0,8986,39080
10,1,35310,17809
10,2,36960,16807
10,3,25626,24424
10,4,34546,18006
10,5,13189,35464
10,6,18989,26447
10,7,36691,20089
10,8,39249,14181
10,9,43958,11308
10,10,47524,16419
11,0,8670,35831
11,1,35723,17919
11,2,26263,24856
11,3,43953,12967
11,4,22770,25188
11,5,41004,17702
11,6,13012,34154
11,7,37037,15263
11,8,35641,18489
11,9,32475,24556
11,10,44480,13109
12,0,26701,25089
12,1,36813,19101
12,2,24843,24486
12,3,35380,18810
12,4,43960,9720
12,5,8987,38784
12,6,24813,20900
12,7,44086,13475
12,8,27110,26409
12,9,28911,25082
12,10,39424,18178
13,0,8986,39080
13,1,32952,20232
13,2,26093,24684
13,3,22888,24205
13,4,38907,19423
13,5,30606,23682
13,6,36726,18071
13,7,35552,18041
13,8,22911,27705
13,9,43162,13803
13,10,42245,11108
14,0,25308,26191
14,1,30307,20987
14,2,8808,37041
14,3,22197,23565
14,4,43198,14352
14,5,46635,15517
14,6,34979,17985
14,7,33882,20811
14,8,36593,17882
14,9,45134,10455
14,10,13987,35248
15,0,8816,37488
15,1,34238,17626
15,2,25654,26998
15,3,23302,23573
15,4,40247,11271
15,5,35605,20147
15,6,36879,18072
15,7,34559,20847
15,8,13046,34643
15,9,47991,15279
15,10,40691,14090
16,0,8832,37435
16,1,35494,17857
16,2,32884,17276
16,3,41831,19924
16,4,25446,26462
16,5,25573,25092
16,6,36327,20127
16,7,23416,25067
16,8,44470,11247
16,9,25256,25471
16,10,41499,14076
17,0,25094,25991
17,1,8924,38429
17,2,34832,18451
17,3,40270,17349
17,4,41599,11691
17,5,31378,18361
17,6,17861,31513
17,7,22254,24544
17,8,40443,17665
17,9,42176,17584
17,10,36197,18456
18,0,46331,12057
18,1,30642,22444
18,2,8986,39080
18,3,30745,21780
18,4,44125,16008
18,5,16133,35067
18,6,30016,19963
18,7,22810,22420
18,8,37694,18154
18,9,36928,17540
18,10,36618,15521
19,0,34251,17593
19,1,21941,29022
19,2,25446,26462
19,3,37872,17056
19,4,37911,13440
19,5,45211,15133
19,6,8848,37418
19,7,38661,18806
19,8,33625,21997
19,9,21456,24914
19,10,35806,18193
